Conference Acronym	Conference Name	Conference Location	ResearchArea
MuSe 2023	The 4th International Multimodal Sentiment Analysis Challenge and Workshop @ ACM Multimedia 2023, Ottawa, Canada	Ottawa, Canda	ML
EAI BDTA - PhD Track 2023	13th EAI International Conference on Big Data Technologies and Applications - PhD Track	Edinburgh	ML
EAI BDTA  2023	13th EAI International Conference on Big Data Technologies and Applications	Edinburgh	ML
ENC 2023	Track: Scientific Computation Applied to Geospatial Problems, Encuentro Nacional de ComputaciÃ³n 2023 (ENC 2023)	Guanajuato city, Mexico	ML
ARRL 2023	International Workshop on Adaptable, Reliable, and Responsible Learning	Shanghai, China	ML
TransAI 2023	IEEE International Conference on Transdisciplinary AI	Laguna Hills, CA	ML
MIIP 2023	Medical Imaging & Image Processing III	N/A	ML
IJCLR 2023	3rd International Joint Conference on Learning and Reasoning	Bari, Italy	ML
TNNLS-GL 2023	IEEE Transactions on Neural Networks and Learning Systems Special Issue on Graph Learning	N/A	ML
ICDM 2023	International Conference on Data Mining	Shanghai, China (hybrid)	ML
ACAIT 2023	7th Asian Conference on Artificial Intelligence Technology	Jiaxing, China	ML
MDPI-SI on DT & FIE in Ed--Scopus,JCI 2023	MDPI Education Sciences Journal - Special Issue on Digital Twins and Future Intelligent Educational Environments	N/A	ML
IEEE CIIoT 2023	IEEE Symposium on Computational Intelligence in IoT and Smart Cities	Mexico City, Mexico	ML
AS 2023	19th International Conference on Applied Statistics	Koper/Capodistria, Slovenia	ML
NLPAI--Ei 2023	2023 4th International Conference on Natural Language Processing and Artificial Intelligence (NLPAI 2023)	Urumqi, China	ML
RoSA 2023	International Workshop on Robotic perception and Situation Awareness @ ECMR 2023	Coimbra, Portugal	ML
IEEE PRML 2023	2023 IEEE the 4th International Conference on Pattern Recognition and Machine Learning (PRML 2023)	Urumqi, China	ML
IEEE IComputation 2023	IEEE Symposium on Immune Computation	Mexico City, Mexico	ML
MIDAS 2023	MIDAS workshop @ECML-PKDD 2023 - 8th Workshop on MIning DAta for financial applicationS	Turin, Italy	ML
CIS 2023	4th Congress on Intelligent Systems	Bangalore, India	ML
SFCI 2023	11Ã¨mes JournÃ©es de la SociÃ©tÃ© FranÃ§aise de ChÃ©moinformatique	Caen	ML
ISIC-SIAW-MICCAI 2023	Eighth ISIC Skin Image Analysis Workshop @ MICCAI 2023	Vancouver, BC, Canada	ML
ML4ITS2023	[EXTENDED DEADLINE] 2nd CFP - ML4ITS2023 Machine Learning for Irregular Time Series @ ECML/PKDD	Turin, Italy	ML
IAL @ ECML-PKDD 2023	7th International Workshop & Tutorial on Interactive Adaptive Learning	Torino, Italy	ML
SIGITE 2023	ACM SIGITE 2023	Marietta, Georgia	ML
ISIFE 2023	Intelligent Systems in Forensic Engineering	Virtual	ML
AALTD@ECML 2023	 International Workshop on Advanced Analytics and Learning on Temporal Data	Torino	ML
PharML 2023	PharML 2023: Machine Learning for Pharma and Healthcare Applications	Turin, Italy	ML
SISY 2023	21st International Symposium on Intelligent Systems and Informatics	Pula, Croatia	ML
MLCS@ECML-PKDD 2023	 The 5th Workshop on Machine Learning for CyberSecurity (EXTENDED Deadline)	Turin, Italy	ML
EuroSymposium 2023	EuroSymposium 2023: The XVth EuroSymposium on Digital Transformation, 28th of September, 2023, Hybrid, University of Gdansk, Poland (LNBIP proceedings)	Hybrid (Virtual; Sopot, Poland)	ML
ML4CS 2023	5th International Conference on Machine Learning for Cyber Security	Nadi, Fiji	ML
ICDLT--Ei 2023	2023 7th International Conference on Deep Learning Technologies (ICDLT 2023)	Dalian, China	ML
iWOAR 2023	8th international Workshop on Sensor-Based Activity Recognition and Artificial Intelligence	LÃ¼beck, Germany	ML
AISC 2023	[Scopus][Elsevier] International Workshop on Artificial Intelligence methods for Smart Cities	Online Event	ML
KDD DSHealth Workshop 2023	KDD DSHealth 2023: Workshop on Applied Data Science for Healthcare	Long Beach, CA	ML
Distributed ML and Opt. 2023	Distributed Machine Learning and Optimization: Theory and Applications	Springer 	ML
IMVIP 2023	25th Irish Machine Vision and Image Processing Conference	Galway-Ireland	ML
ARIAL@ECML  2023	ARIAL@ECML 2023 : 6th Workshop on AI for Aging, Rehabilitation, and Intelligent Assisted Living	Turin, Italy	ML
LIMBO@ECML/PKDD 2023	LIMBO@ECML/PKDD 2023 International workshop on LearnIng and Mining for BlOckchains	Turing, Italy	ML
LQ @ ECML-PKDD 2023	3rd International Workshop on Learning to Quantify: Methods and Applications	Torino, Italy	ML
MLSA 2023	Machine Learning and Data Mining for Sports Analytics	Turin	ML
DiTox 2023	1st International Workshop on Disinformation and Toxic Content Analysis	Vienna	ML
Berkeley Innovation  2023	Berkeley Financial Innovation Conference	Haas School of Business	ML
ADACIS 2023	International Conference on Advances in Data-driven Analytics and Intelligent Systems	Marrakech - Morocco	ML
DS 2023	Discovery Science 2023	Porto, Portugal	ML
Decision Making in Complex Systems 2023	Decision Making in Complex Systems	N/A	ML
KDD_OARS 2023	3rd workshop of Online and Adaptive Recommender Systems (OARS)at KDD 2023	Long Beach, CA	ML
ECQM 2023	QuMatrix-KIE European International Conference on Quantum Computing 	Madrid, Spain	ML
ASYU 2023	AkÄ±llÄ± Sistemlerde Yenilikler ve UygulamalarÄ± KonferansÄ±	Sivas / TURKÄ°YE	ML
WISE 2023	24th International Conference on Web Information Systems Engineering (WISE2023)	Melbourne	ML
DAGM GCPR 2023	German Conference on Patter Recognition	Heidelberg, Germany	ML
CDPD 2023	The 2023 ACM SIGKDD Workshop on Causal Discovery, Prediction and Decision	Long Beach, CA, USA	ML
ICDSBA 2023	7th International Conference on Data Science and Business Analytics	Changsha,China	ML
QDB 2023	12th International Workshop on Quality in Databases (QDBâ23) @ VLDB 2023	Vancouver, Canada	ML
Civo Navigate EU 2023	Civo Navigate Europe 2023	London	ML
SOPCA 2023	Symposium on Parallel Computing and Applications	ARIEL, ISRAEL	ML
ICDSA 2023	4th International Conference on Data Science and Applications	Malaviya National Institute of Technolog	ML
AIC 2023	2023 IEEE World Conference on Applied Intelligence and Computing	Varanasi, India	ML
FL4Data-Mining@KDD 2023	International Workshop on Federated Learning for Distributed Data Mining @ ACM SIGKDD	Long Beach, California	ML
WACIIS 2023	Workshop on Applications of Computational Intelligence and Interactive Systems   	Banasthali Vidyapith, Rajasthan, India	ML
AITA 2023	International Conference on Artificial Intelligence: Theory and Applications	IBS, Bangalore	ML
DMLR 2023	ICML Workshop on Data-Centric Machine Learning Research	Honolulu, Hawaii	ML
KLR 2023	ICML Workshop on Knowledge and Logical Reasoning in the Era of Data-driven Learning	Honolulu, Hawaii	ML
AI4Cyber 2023	The 3rd Workshop on Artificial Intelligence-enabled Cybersecurity Analytics 	Long Beach, CA	ML
ACM HPCCT 2023	ACM--2023 7th High Performance Computing and Cluster Technologies Conference (HPCCT 2023)	Jiaxing, Zhejiang, China	ML
ACDL 2023	6th Advanced Course on Data Science & Machine Learning	Riva del Sole Resort & SPA - Tuscany	ML
RSTA 2023	5th International Symposium on Rough Sets: Theory and Applications	Warsaw, Poland	ML
PRAXAI @ IEEE-DSAA 2023	Practical applications of explainable artificial intelligence methods  @ IEEE-DSAA23	Thessaloniki, Grece	ML
LearnTeD 2023	Learning from Temporal Data - DSAA 2023	Thessaloniki, Greece 	ML
DSAA - Journal Track 2023	Data Science and Advanced Analytics 2023 - Journal Track	Thessaloniki, Greece	ML
KI 2023	46th German Conference on Artificial Intelligence	Berlin	ML
SIB/GRSL 2023	The SIBGRAPI 2023 Geoscience and Remote Sensing Letters (GRSL) Track	Rio Grande, RS, Brazil	ML
NeurIPS 2023	Thirty-seventh Conference on Neural Information Processing Systems	New Orleans, LA	ML
SEMANTiCS 2023	19th International Conference on Semantic Systems	Leipzig, DE	ML
DSAA 2023	10th IEEE International Conference on Data Science and Advanced Analytics (DSAA' 2023)	Thessaloniki, Greece	ML
IEEE CogMI 2023	IEEE International Conference on Cognitive Machine Intelligence	Atlanta, GA	ML
AIC 2023	2023 IEEE World Conference on Applied Intelligence and Computing 	Online	ML
IPTA 2023	Twelfth International Conference on Image Processing Theory, Tools and Applications (IPTA)	Paris, France	ML
ACM SPML 2023	ACM--2023 6th International Conference on Signal Processing and Machine Learning (SPML 2023)	Tianjin, China	ML
FL-IJCAI 2023	International Workshop on Trustworthy Federated Learning in Conjunction with IJCAI 2023	Macau	ML
IJCAI-AiOfAi 2023	3rd Workshop on Adverse Impacts and Collateral Effects of AI Technologies	Macao, China	ML
STRL 2023	Second International Workshop on Spatio-Temporal Reasoning and Learning	Macau, China	ML
IEEE MIPR 2023	IEEE 6th International Conference on Multimedia Information Processing and Retrieval	Singapore	ML
IJCB 2023	IEEE/IAPR International Joint Conference on Biometrics	Ljubljana, Slovenia	ML
AIM@EPIA 2023	Artificial Intelligence in Medicine	Lisbon, Portugal	ML
ASPAI 2023	5th International Conference on Advances in Signal Processing and Artificial Intelligence	Tenerife (Canary Islands), Spain	ML
BRACIS 2023	Call For Papers - BRACIS 2023 - 12th Brazilian Conference on Intelligent Systems	Belo Horizonte, Brazil	ML
LSD 2023	Learning with Small Data	Gothenburg	ML
ATVA 2023	Automated Technology for Verification and Analysis	Singapore	ML
CP 2023	Principles and Practice of Constraint Programming	Toronto, Canada	ML
DISA@DSAA  2023	Computational methods for emerging problems in disinformation analysis 	Thessaloniki, Greece	ML
ICIAP 2023	22nd International Conference on Image Analysis and Processing	Udine, Italy	ML
IMSA 2023	IEEE Conference on the Intelligent Methods, Systems, and Applications (IMSA)	Egypt	ML
IEEE SmartNets 2023	2023 IEEE International Conference on Smart Applications, Communications and Networking	Istanbul - Turkey	ML
NAMSP 2023	4th International Workshop on New Approaches for Multidimensional Signal Processing	Sofia, Bulgaria	ML
CORES-IP&C 2023	Â The 13th International Conference on Computer Recognition Systems and the 13th International Conference on Image Processing and Communications 	www	ML
Machine Learning tools for Adaptive XR 2023	XR Salento 2023 - Special session	Lecce, Italy	ML
EAI-MLADA 2023	EAI International Conference on Machine Learning And Applied Data Analytics	Dehradun, India	ML
IROBOT@EPIA 2023	12th International Thematic Track on Intelligent Robotics	Faial Island, Azores, Portugal	ML
FLIRT 2023	1st Workshop on Federated Learning for Information Retrieval	Taipei, Taiwan	ML
MoDU 2023	Management of Data under Uncertainty 	Barcelona	ML
AAMLASP 2023	Advanced Aspects of Machine Learning Algorithms for Scientific Programming	N/A	ML
KES 2023	27th International Conference on Knowledge Based and Intelligent information and Engineering Systems	Athens, Greece	ML
Call for Chapters - Elsevier 2024	Deadline Extended: TinyML for Edge Intelligence in IoT and LPWAN Networks' to be published by Elsevier 	N/A	ML
Deadline Extended - Call for Chapters 2024	CFC: TinyML for Edge Intelligence in IoT and LPWAN Networks' to be published by Elsevier 	N/A	ML
MLVis 2023	Machine Learning Methods in Visualisation 	Leipzig, Germany	ML
ICANN 2023	32nd International Conference on Artificial Neural Networks	Heraklion, Crete, Greece	ML
JCC-BD&ET 2023	[Deadline extension] 11th JCC-BD&ET 2023 -- Springer CCIS (Ei Compendex & Scopus) -- No APC	La Plata, Argentina	ML
DBB 2023	The 4th Joint International Conference on Deep Learning, Big Data and Blockchain	Marrakech, Morocco	ML
AISI 2023	9th International Conference on Advanced Intelligent Systems and Informatics	Port Said, Egypt	ML
IEEE BigDataService  2023	The 9th IEEE International Conference on Big Data Computing Service and Machine Learning Applications	Athens, Greece	ML
ACM ICSIM 2024	ACM--2024 The 7th International Conference on Software Engineering and Information Management (ICSIM 2024)	SuVa, Fiji	BigData
ICBTA 2023	ACM--2023 6th International Conference on Blockchain Technology and Applications (ICBTA 2023)	Xi'an, China	BigData
ICICM 2023	ACM--2023 The 13th International Conference on Information Communication and Management (ICICM 2023)	Cairo, Egypt	BigData
ICBDSC 2024	2024 the 7th International Conference on Big Data and Smart Computing (ICBDSC 2024)	The University of Fiji	BigData
MLDS 2023	4th International Conference on Machine Learning Techniques and Data Science	Sydney, Australia	BigData
CSTY 2023	9th International Conference on Computer Science and Information Technology	Sydney, Australia	BigData
ENERGY 2023	International Conference on Energy	Virtual Conference	BigData
DMS 2023	14th International conference on Database Management Systems	Dubai, UAE	BigData
CEU 2024	7th International Conference on Civil Engineering and Urban Planning 	Virtual Conference	BigData
ACINT 2023	International Conference on Advanced Computational Intelligence	Virtual Conference	BigData
DSML 2023	4th International Conference on Data Science and Machine Learning	Vienna, Austria	BigData
IJAMSE 2023	International Journal of Advances in Materials Science and Engineering	N/A	BigData
BIOM 2023	3rd International Conference on Big Data, IoT and Machine Learning  	Zurich, Switzerland	BigData
IBCOM 2023	4th International Conference on IoT, Blockchain & Cloud Computing	Sydney, Australia	BigData
BIBC  2023	4th International Conference on Big Data, IOT and Blockchain	Vienna, Austria	BigData
IJCSITCE 2023	The International Journal of Computational Science, Information Technology and Control Engineering 	N/A	BigData
IJDMS 2023	International Journal of Database Management Systems - WJCI Indexed	N/A	BigData
CTCM  2023	9th International Conference of Control Theory and Computer Modelling	Vienna, Austria	BigData
BINLP 2023	3rd International Conference on Big Data, IOT & NLP 	Sydney, Australia	BigData
NLDM 2023	3rd International Conference on NLP & Data Mining	Zurich, Switzerland	BigData
CORAJ  2023	International Conference on Operations Research and Applications 	Virtual Conference	BigData
CST 2023	10th International Conference on Foundations of Computer Science & Technology	Dubai, UAE	BigData
DSA  2023	4th International Conference on Data Science and Applications 	London, United Kingdom	BigData
NLPTA 2023	4th International Conference on NLP Techniques and Applications	London, United Kingdom	BigData
CSITAI 2023	International Conference on Computer Science, Information Technology & AI	Virtual Conference	BigData
SOFEA 2023	9th International Conference on Software Engineering and Applications	Vienna, Austria	BigData
CSITAI 2023	International Conference on Computer Science, Information Technology & AI	Virtual Conference	BigData
DMDB 2024	11th International Conference on Data Mining and Database	Zurich, Switzerland	BigData
IJDKP 2023	International Journal of Data Mining & Knowledge Management Process	N/A	BigData
IJWSC 2023	International Journal on Web Service Computing	N/A	BigData
CCNET 2024	11th International Conference on Computer Networks & Communications	Copenhagen, Denmark	BigData
AVC 2023	Advances in Vision Computing: An International Journal	N/A	BigData
IOTBS 2024	4th International Conference on IOT, Big Data and Security	Copenhagen, Denmark	BigData
IJMECH 2023	International Journal of Recent Advances in Mechanical Engineering	N/A	BigData
ICCIoT 2024	5th International Conference on Cloud and Internet of Things	Zurich, Switzerland	BigData
ICAIA 2023	3rd Annual International Conference on Artificial Intelligence and Applications 	Shenzhen, China	BigData
CAMSE 2024	International Conference on Advances in Materials Science and Engineering	Virtual Conference	BigData
ISDIA 2024	Scopus indexed Springer International Conf ISDIA	Dubai	BigData
ICBDB 2023	2023 5th International Conference on Big Data and Blockchain(ICBDB 2023)	Xi'an, China	BigData
ICNS--Ei 2023	2023 The 8th International Conference on Network Security (ICNS 2023)	Osaka, Japan	BigData
ICSCM 2024	2024 5th International Conference on Supply Chain Management (ICSCM 2024)	Singapore	BigData
ICBDM 2023	2023 The 4th International Conference on Big Data in Management (ICBDM 2023)	Bangkok, Thailand	BigData
APIT 2024	ACM--2024 6th Asia Pacific Information Technology Conference (APIT 2024)	Bangkok, Thailand	BigData
ICICT 2024	9th International Congress on Information and Communication Technology	London, United Kingdom	BigData
BigDataAnalytics 2023	Big-Big Data Analytics Competition (CyberC, IEEE TCCC, IEEE TC @ BD)	Suzhou, China	BigData
BDSN 2023	The 11th International workshop on Big Data and Social Networking Management and Security 	Abu Dhabi, UAE	BigData
DSEA  2023	The 7th International Workshop on Data Science Engineering and its Applications	Abu Dhabi, UAE	BigData
OSNT 2023	The 9th International Workshop on Online Social Networks Technologies	Abu Dhabi, UAE	BigData
ANLP 2023	The 7th International Workshop on Advances in Natural Language Processing 	Abu Dhabi, UAE	BigData
SAMSN  2023	The 6th International Workshop on Sentiment Analysis and Mining of Social Networks	Abu Dhabi, UAE	BigData
BigComp 2024	2024 International Conference on  Big Data and Smart Computing	Bangkok, Thailand	BigData
CAIDS 2023	1st International Conference on Recent Advances in Computing, AI, and Data Science	Islamabad, Pakistan	BigData
CPS AEIS 2023	CPS--2023 3rd International Conference on Advanced Enterprise Information System (AEIS 2023)	London, UK	BigData
WSIM 2023	2023 3rd International Workshop on Information Management (WSIM 2023)	London, UK	BigData
ACM ICIMT 2023	ACM--2023 The 15th International Conference on Information and Multimedia Technology (ICIMT 2023)	Beijing, China	BigData
IEEE Big Data - MMAI 2023	IEEE Big Data 2023 Workshop on Multimodal AI (Hybrid)	Online	BigData
ICIT 2023	ACM--2023 The 11th International Conference on Information Technology: IoT and Smart City (ICIT 2023)	Kyoto University, Kyoto, Japan	BigData
Singapore--CDICS 2023	2023 International Conference on Data, Information and Computing Science (CDICS 2023)	Singapore	BigData
IEEE ICIM 2024	IEEE--2024 the 10th International Conference on Information Management (ICIM 2024)	University of Cambridge, Cambridge, UK	BigData
CFP-ICBDAA 2023	2023 International Conference on Big Data Analysis and Application (ICBDAA 2023)	Singapore	BigData
ACM ICCIP 2023	ACM--2023 9th International Conference on Communication and Information Processing (ICCIP 2023)	Lingshui, Hainan, China	BigData
ICBICC 2023	2023 5th International Conference on Big Data, IoT, and Cloud Computing (ICBICC 2023)	Mianyang, China	BigData
ADIP 2023	2023 5th Asia Digital Image Processing Conference (ADIP 2023)	Kyoto, Japan	BigData
AICCC 2023	ACM--2023 6th Artificial Intelligence and Cloud Computing Conference (AICCC 2023)	Kyoto, Japan	BigData
MLSC 2024	5th International Conference on Machine Learning and Soft Computing	Vancouver, Canada	BigData
AIBD 2024	5th International Conference on Artificial Intelligence and Big Data	 Vancouver, Canada	BigData
ADCOM 2024	10th International conference on Advanced Computing	Vancouver, Canada	BigData
ACDSA 2024	International Conference on Artificial Intelligence, Computer, Data Sciences and Applications	Mahe, Seychelles	BigData
IEEE Xplore-Ei/Scopus-DMCSE 2023	2023 International Conference on Data Mining, Computing and Software Engineering (DMCSE 2023) -EI Compendex	Chengdu, China	BigData
ICBDA 2024	IEEE--2024 the 9th International Conference on Big Data Analytics (ICBDA 2024)	Tokyo, Japan	BigData
CEIJ 2023	Chemical Engineering: An International Journal 	N/A	BigData
SI on Big Data 2023	Special Issue on Big Data and Large-Scale Data Processing Applications	N/A	BigData
ICAIBD 2024	2024 The 7th International Conference on Artificial Intelligence and Big Data (ICAIBD 2024)	Chengdu, China	BigData
CSP 2024	2024 8th International Conference on Cryptography, Security and Privacy (CSP 2024)	Osaka, Japan	BigData
SCSN 2024	The 12th IEEE International Workshop on Semantic Computing for Social Networks and Organization Sciences: from user information to social knowledge	Laguna Hills, CA, USA (Hybrid)	BigData
ICGDA 2024	ACM--2024 7th International Conference on Geoinformatics and Data Analysis (ICGDA 2024)	Paris, France	BigData
DOLAP 2024	26th International Workshop on Design, Optimization, Languages and Analytical Processing of Big Data	Paestum, Italy	BigData
IEEE ICCCBDA 2024	IEEE--2024 the 9th International Conference on Cloud Computing and Big Data Analytics (ICCCBDA 2024)	Chengdu, China	BigData
smart health 2023	1ST INTERNATIONAL WORKSHOP ON SMART HEALTH	Leuven, Belgium	BigData
IoTBDS 2024	9th International Conference on Internet of Things, Big Data and Security	Lisbon, Portugal	BigData
FEMIB 2024	6th International Conference on Finance, Economics, Management and IT Business	Lisbon, Portugal	BigData
SI in Applied Sciences 2023	Special Issue Data Science Methods in Big Data Era in Applied Sciences	N/A	BigData
SoCAV 2024	2024 International Symposium on Connected and Autonomous Vehicles (SoCAV 2024)	Qingdao, China	BigData
ICBDC--Ei 2024	2024 9th International Conference on Big Data and Computing (ICBDC 2024)	Bangkok, Thailand	BigData
ICINT 2024	2024 9th International Conference on Information and Network Technologies (ICINT 2024)	Tokyo, Japan	BigData
IEEE ICIT 2024	25th IEEE International Conference on Industrial Technology	Bristol, United Kingdom	BigData
ICIKM 2024	2024 13th International Conference on Innovation, Knowledge, and Management (ICIKM 2024)	Rome, Italy	BigData
ICISPP--Ei 2024	2024 5th International Conference on Information Security and Privacy Protection (ICISPP 2024)	Nanjing, China	BigData
BIOTC--EI 2024	2024 6th Blockchain and Internet of Things Conference (BIOTC 2024)	Fukuoka, Japan	BigData
DATA 2024	13th International Conference on Data Science, Technology and Applications	Dijon, France	BigData
NLDML 2024	3rd International Conference on NLP, Data Mining and Machine Learning	Virtual Conference	BigData
BIOEN  2024	7th International Conference on Biomedical Engineering and Science	Virtual Conference	BigData
IWBDR 2023	The Fourth International Workshop on Big Data Reduction	Sorrento, Italy & Virtual	BigData
SCDM 2023	Workshop on Scalable Cloud Data Management -- Web Engineering Edition	Sorrento, Italy	BigData
HDIS 2023	5th International Conference on High Performance Big Data and Intelligent Systems	Macau, China	BigData
SEMTEC 2023	International Conference on Semantic Technology	Virtual Conference	BigData
CAMS 2023	International Conference on Clinical and Medical Sciences 	Virtual Conference	BigData
BDPC 2024	IEEE--2024 2nd International Conference on Big Data and Privacy Computing (BDPC 2024)	Macau, China	BigData
ICIIT 2024	2024 9th International Conference on Intelligent Information Technology (ICIIT 2024)	Ho Chi Minh, Vietnam	BigData
IEEE Xplore-Ei/Scopus-CSPIT 2023	2023 Asia Conference on Communications, Signal Processing and Information Technology (CSPIT 2023) -EI Compendex	Singapore	BigData
IEEE Xplore-Ei/Scopus-BDISS 2023	2023 Asia Conference on Big Data, Information and System Security (BDISS 2023) -EI Compendex	Singapore	BigData
ACM BDE 2023	ACM--2023 5th International Conference on Big Data Engineering (BDE 2023)	Zhuhai, China	BigData
ICNT 2023	2023 6th International Conference on Network Technology (ICNT 2023)	Sharm El-Sheikh, Egypt	BigData
SNAMS 2023	The 10th International Conference on Social Networks Analysis, Management and Security	Abu Dhabi, UAE	BigData
DSDE 2024	2024 7th International Conference on Data Storage and Data Engineering (DSDE 2024)	Shanghai, China	BigData
ISSA 2023	Intelligent Systems, Services and Applications (ISSA 2023)	The Berkeley Hotel Bangkok	BigData
BDCat 2023	International Conference on Big Data Computing, Applications and Technologies 	Taormina (Messina), Italy	BigData
INCOFT 2023	2nd International Conference on Futuristic Technologies	Belagavi, Karnataka, India	BigData
ACM ICBCT 2023	ACM--2023 5th International Conference on Blockchain Technology (ICBCT 2023)	Guilin, China	BigData
CFEM  2023	Cornell Financial Engineering 2023 Conference Call For Papers	Cornell School of Financial Engineering	BigData
AIOTT 2023	Springer--2023 4th Asia IoT Technologies Conference (AIOTT 2023)	Beijing, China	BigData
IEEE INCC 2023	IEEE--2023 International Conference on Information Network and Computer Communications (INCC 2023)	Beijing, China	BigData
DSCI 2023	6th International Conference on Data Science and Computational Intelligence	Chengdu, China	BigData
IEEE Xplore-Ei/Scopus-SPCVA 2023	2023 Asia Conference on Signal Processing, Computer Vision and Applications (SPCVA 2023)	Qingdao, China	BigData
BDSIC 2023	ACM--2023 5th International Conference on Big-data Service and Intelligent Computation (BDSIC 2023)	Singapore	BigData
 BDIIE 2023	2023 International Conference on Big Data, Information and Intelligent Engineering	Wuhan,China	BigData
BDIIE 2023	2023 International Conference on Big Data, Information and Intelligent Engineering	Wuhan,China	BigData
CECCC 2023	IEEE--2023 2nd International Communication Engineering and Cloud Computing Conference (CECCC 2023)	Nanjing, China	BigData
IEEE BigData  2023	EEE International Conference on Big Data	Sorento, Italy	BigData
ICACII 2023	2nd International Conference on Advances in Computational Intelligence and Informatics 	Hyderabad, India	BigData
CBD 2023	The Eleventh International Conference on Advanced Cloud and Big Data	Ocean Flower Island, Hainan, China	BigData
DMBD 2023	8th International Conference on Data Mining and Big Data	Sanya, China	BigData
CCBDIoT  2023	2023 2nd International Conference on Computing, Big Data and Internet of Things (CCBDIoT 2023)	Chengdu, China	BigData
IEEE ICCBD 2023	IEEE--2023 6th International Conference on Computing and Big Data (ICCBD 2023)	Shanghai, China	BigData
ICSEng 2023	30th INTERNATIONAL CONFERENCE ON SYSTEMS ENGINEERING	University of Nevada, Las Vegas, USA	BigData
ABCSS 2023	The 8th International Workshop on Application of Big Data for Computational Social Science	Hybrid Conference / Venice, Italy	BigData
IEEE ICEBE 2023	19th IEEE International Conference on e-Business Engineering	Sydney, Australia	BigData
BDMO 2023	2023 2nd International Conference on Big Data Modeling and Optimization (BDMO 2023)	Rome, Italy	BigData
BigData 2023 - 6th HealthCare Data 2023	IEEE BigData 2023 - 6th Special Session on HealthCare Data	Sorrento, Italy	BigData
ICTC 2023	The 14th International Conference on ICT Convergence	Jeju Island, South Korea	BigData
BDCloud 2023	13th IEEE International Conference on Big Data and Cloud Computing	Wuhan, China	BigData
IEEE ICICSP 2023	IEEE--2023 6th International Conference on Information Communication and Signal Processing (ICICSP 2023)	Xi'an, China	BigData
ICBDT 2023	ACM--2023 6th International Conference on Big Data Technologies (ICBDT 2023)	Qingdao, China	BigData
BDCIA 2023	2023 International Conference on Big Data, Computational Intelligence and Applications	Huanggang, China	BigData
AIBC--Ei 2023	2023 4th International Artificial Intelligence and Blockchain Conference (AIBC 2023)	Aizu-Wakamatsu, Japan	BigData
BDML 2023	2023 6th International Conference on Big Data and Machine Learning (BDML 2023)	Xiamen, China	BigData
BDML--Ei 2023	2023 6th International Conference on Big Data and Machine Learning (BDML 2023)	Xiamen, China	BigData
CCIOT 2023	ACM--2023 8th International Conference on Cloud Computing and Internet of Things (CCIOT 2023)	Okinawa, Japan	BigData
DATA ANALYTICS 2023	The Twelfth International Conference on Data Analytics	Porto, Portugal	BigData
YSC 2023	International Young Scientists Conference in Computational Science 2023	Abu Dhabi, UAE	BigData
BigDataSE 2023	The 17th IEEE International Conference on Big Data Science and Engineering	Exeter, UK	BigData
ICAISE 2023	The 5th International Conference on   Artificial Intelligence and Smart Environments	Errachidia, MOROCCO	BigData
BCD 2023	The 8th IEEE/ACIS International Conference on Big Data, Cloud Computing, and Data Science Engineering	Ho Chi Min City, Vietnam	BigData
ACM BDCI 2023	ACM--2023 The 3rd International Conference on Big Data and Computational Intelligence (BDCI 2023)	Tokyo, Japan	BigData
IDEAL 2023	24th International Conference on Intelligent Data Engineering and Automated Learning	Ãvora, Portugal	BigData
iSCSi 2023	iSCSi'23 - International Conference of Industry Science & Computer Sciences Innovation	Lisbon	BigData
ICBDR 2023	2023 The 7th International Conference on Big Data Research (ICBDR 2023)	Lanzhou, China	BigData
ICIST--Ei 2023	2023 5th International Conference on Intelligent Science and Technology (ICIST 2023)	Lanzhou, China	BigData
BDEE--Ei 2023	CPS--2023 The 3rd International Conference on Big Data Engineering and Education (BDEE 2023)	Chengdu, China	BigData
IMMS 2023	2023 the 6th International Conference on Information Management and Management Science (IMMS 2023)	Chengdu, China	BigData
ACM ICCBDC 2023	ACM--2023 7th International Conference on Cloud and Big Data Computing (ICCBDC 2023)	Manchester, United Kingdom	BigData
EAI BDTA  2023	13th EAI International Conference on Big Data Technologies and Applications	Edinburgh	BigData
EAI BDTA - PhD Track 2023	13th EAI International Conference on Big Data Technologies and Applications - PhD Track	Edinburgh	BigData
IoTaaS 2023	EAI IoTaaS 2023	Nanjing, China	BigData
DDPCSP 2023	Data-Driven Processing from Complex Systems Perspective	N/A	BigData
IEEE SSCI 2023	2023 IEEE Symposium Series on Computational Intelligence	Mexico City, Mexico	BigData
BDIOT 2023	ACM--2023 7th International Conference on Big Data and Internet of Things (BDIOT 2023)---SCIE	Beijing, China	BigData
SMC 2023	20th Smoky Mountains Computational Sciences and Engineering Conference	Knoxville, Tennessee, USA 	BigData
EuroSymposium 2023	EuroSymposium 2023: The XVth EuroSymposium on Digital Transformation, 28th of September, 2023, Hybrid, University of Gdansk, Poland (LNBIP proceedings)	Hybrid (Virtual; Sopot, Poland)	BigData
BCCA 2023	The Fifth International Conference on Blockchain Computing and Applications 	Kuwait	BigData
EAI Chinacom 2023	18th EAI International Conference on Communications and Networking in China	Sanya, People's Republic of China	BigData
IDSTA 2023	The International Conference on Intelligent Data Science Technologies and Applications (IDSTA2023)	Kuwait	BigData
